Match_SK,match_id,Team1,Team2,match_date,Season_Year,Venue_Name,City_Name,Country_Name,Toss_Winner,match_winner,Toss_Name,Win_Type,Outcome_Type,ManOfMach,Win_Margin,Country_id
249,548312,Kolkata Knight Riders,Delhi Daredevils,05-04-12,2012,Eden Gardens,Kolkata,India,Delhi Daredevils,Delhi Daredevils,field,wickets,Result,IK Pathan,8,1
250,548313,Mumbai Indians,Pune Warriors,06-04-12,2012,Wankhede Stadium,Mumbai,India,Mumbai Indians,Pune Warriors,field,runs,Result,SPD Smith,28,1
251,548314,Rajasthan Royals,Kings XI Punjab,06-04-12,2012,Sawai Mansingh Stadium,Jaipur,India,Kings XI Punjab,Rajasthan Royals,field,runs,Result,AM Rahane,31,1
252,548315,Royal Challengers Bangalore,Delhi Daredevils,07-04-12,2012,M Chinnaswamy Stadium,Bangalore,India,Delhi Daredevils,Royal Challengers Bangalore,field,runs,Result,AB de Villiers,20,1
253,548316,Deccan Chargers,Chennai Super Kings,07-04-12,2012,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,Deccan Chargers,Chennai Super Kings,field,runs,Result,RA Jadeja,74,1
254,548317,Rajasthan Royals,Kolkata Knight Riders,08-04-12,2012,Sawai Mansingh Stadium,Jaipur,India,Kolkata Knight Riders,Rajasthan Royals,field,runs,Result,BJ Hodge,22,1
255,548318,Pune Warriors,Kings XI Punjab,08-04-12,2012,Subrata Roy Sahara Stadium,Pune,India,Pune Warriors,Pune Warriors,bat,runs,Result,MN Samuels,22,1
256,548319,Deccan Chargers,Mumbai Indians,09-04-12,2012,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India,Deccan Chargers,Mumbai Indians,bat,wickets,Result,RG Sharma,5,1
257,548320,Royal Challengers Bangalore,Kolkata Knight Riders,10-04-12,2012,M Chinnaswamy Stadium,Bangalore,India,Royal Challengers Bangalore,Kolkata Knight Riders,field,runs,Result,L Balaji,42,1
258,548321,Delhi Daredevils,Chennai Super Kings,10-04-12,2012,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Delhi Daredevils,field,wickets,Result,M Morkel,8,1
259,548322,Mumbai Indians,Rajasthan Royals,11-04-12,2012,Wankhede Stadium,Mumbai,India,Rajasthan Royals,Mumbai Indians,field,runs,Result,KA Pollard,27,1
260,548323,Chennai Super Kings,Royal Challengers Bangalore,12-04-12,2012,"MA Chidambaram Stadium, Chepauk",Chennai,India,Royal Challengers Bangalore,Chennai Super Kings,bat,wickets,Result,F du Plessis,5,1
261,548324,Kings XI Punjab,Pune Warriors,12-04-12,2012,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Kings XI Punjab,Kings XI Punjab,field,wickets,Result,AD Mascarenhas,7,1
262,548325,Kolkata Knight Riders,Rajasthan Royals,13-04-12,2012,Eden Gardens,Kolkata,India,Rajasthan Royals,Kolkata Knight Riders,bat,wickets,Result,Shakib Al Hasan,5,1
263,548326,Delhi Daredevils,Deccan Chargers,19-04-12,2012,Feroz Shah Kotla,Delhi,India,Deccan Chargers,Delhi Daredevils,bat,wickets,Result,KP Pietersen,5,1
264,548327,Pune Warriors,Chennai Super Kings,14-04-12,2012,Subrata Roy Sahara Stadium,Pune,India,Chennai Super Kings,Pune Warriors,bat,wickets,Result,JD Ryder,7,1
265,548328,Kolkata Knight Riders,Kings XI Punjab,15-04-12,2012,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kings XI Punjab,field,runs,Result,SP Narine,2,1
266,548329,Royal Challengers Bangalore,Rajasthan Royals,15-04-12,2012,M Chinnaswamy Stadium,Bangalore,India,Rajasthan Royals,Rajasthan Royals,bat,runs,Result,AM Rahane,59,1
267,548330,Mumbai Indians,Delhi Daredevils,16-04-12,2012,Wankhede Stadium,Mumbai,India,Delhi Daredevils,Delhi Daredevils,field,wickets,Result,S Nadeem,7,1
268,548331,Rajasthan Royals,Deccan Chargers,17-04-12,2012,Sawai Mansingh Stadium,Jaipur,India,Deccan Chargers,Rajasthan Royals,bat,wickets,Result,BJ Hodge,5,1
269,548332,Royal Challengers Bangalore,Pune Warriors,17-04-12,2012,M Chinnaswamy Stadium,Bangalore,India,Pune Warriors,Royal Challengers Bangalore,bat,wickets,Result,CH Gayle,6,1
270,548333,Kings XI Punjab,Kolkata Knight Riders,18-04-12,2012,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Kings XI Punjab,Kolkata Knight Riders,bat,wickets,Result,G Gambhir,8,1
271,548334,Deccan Chargers,Delhi Daredevils,10-05-12,2012,"Rajiv Gandhi International Stadium, Uppal",Hyderabad,India,Deccan Chargers,Delhi Daredevils,bat,wickets,Result,DA Warner,9,1
272,548335,Chennai Super Kings,Pune Warriors,19-04-12,2012,"MA Chidambaram Stadium, Chepauk",Chennai,India,Pune Warriors,Chennai Super Kings,field,runs,Result,KMDN Kulasekara,13,1
273,548336,Kings XI Punjab,Royal Challengers Bangalore,20-04-12,2012,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Royal Challengers Bangalore,Royal Challengers Bangalore,field,wickets,Result,CH Gayle,5,1
274,548337,Chennai Super Kings,Rajasthan Royals,21-04-12,2012,"MA Chidambaram Stadium, Chepauk",Chennai,India,Rajasthan Royals,Chennai Super Kings,bat,wickets,Result,F du Plessis,7,1
275,548338,Delhi Daredevils,Pune Warriors,21-04-12,2012,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Pune Warriors,field,runs,Result,SC Ganguly,20,1
276,548339,Mumbai Indians,Kings XI Punjab,22-04-12,2012,Wankhede Stadium,Mumbai,India,Mumbai Indians,Kings XI Punjab,bat,wickets,Result,SE Marsh,6,1
277,548340,Deccan Chargers,Kolkata Knight Riders,22-04-12,2012,Barabati Stadium,Cuttack,India,Kolkata Knight Riders,Kolkata Knight Riders,field,wickets,Result,B Lee,5,1
278,548341,Rajasthan Royals,Royal Challengers Bangalore,23-04-12,2012,Sawai Mansingh Stadium,Jaipur,India,Rajasthan Royals,Royal Challengers Bangalore,field,runs,Result,AB de Villiers,46,1
279,548342,Pune Warriors,Delhi Daredevils,24-04-12,2012,Subrata Roy Sahara Stadium,Pune,India,Pune Warriors,Delhi Daredevils,bat,wickets,Result,V Sehwag,8,1
280,548344,Kings XI Punjab,Mumbai Indians,25-04-12,2012,"Punjab Cricket Association Stadium, Mohali",Chandigarh,India,Kings XI Punjab,Mumbai Indians,bat,wickets,Result,AT Rayudu,4,1
281,548346,Pune Warriors,Deccan Chargers,26-04-12,2012,Subrata Roy Sahara Stadium,Pune,India,Deccan Chargers,Deccan Chargers,bat,runs,Result,CL White,18,1
282,548347,Delhi Daredevils,Mumbai Indians,27-04-12,2012,Feroz Shah Kotla,Delhi,India,Mumbai Indians,Delhi Daredevils,field,runs,Result,V Sehwag,37,1
283,548348,Chennai Super Kings,Kings XI Punjab,28-04-12,2012,"MA Chidambaram Stadium, Chepauk",Chennai,India,Kings XI Punjab,Kings XI Punjab,bat,runs,Result,Mandeep Singh,7,1
284,548349,Kolkata Knight Riders,Royal Challengers Bangalore,28-04-12,2012,Eden Gardens,Kolkata,India,Kolkata Knight Riders,Kolkata Knight Riders,bat,runs,Result,G Gambhir,47,1
285,548350,Delhi Daredevils,Rajasthan Royals,29-04-12,2012,Feroz Shah Kotla,Delhi,India,Delhi Daredevils,Delhi Daredevils,bat,runs,Result,V Sehwag,1,1
286,548351,Mumbai Indians,Deccan Chargers,29-04-12,2012,Wankhede Stadium,Mumbai,India,Mumbai Indians,Mumbai Indians,field,wickets,Result,DW Steyn,5,1
287,548352,Chennai Super Kings,Kolkata Knight Riders,30-04-12,2012,"MA Chidambaram Stadium, Chepauk",Chennai,India,Chennai Super Kings,Kolkata Knight Riders,bat,wickets,Result,G Gambhir,5,1
288,548353,Deccan Chargers,Pune Warriors,01-05-12,2012,Barabati Stadium,Cuttack,India,Deccan Chargers,Deccan Chargers,bat,runs,Result,KC Sangakkara,13,1
289,548354,Rajasthan Royals,Delhi Daredevils,01-05-12,2012,Sawai Mansingh Stadium,Jaipur,India,Rajasthan Royals,Delhi Daredevils,bat,wickets,Result,P Negi,6,1
290,548355,Royal Challengers Bangalore,Kings XI Punjab,02-05-12,2012,M Chinnaswamy Stadium,Bangalore,India,Kings XI Punjab,Kings XI Punjab,field,wickets,Result,Azhar Mahmood,4,1
291,548356,Pune Warriors,Mumbai Indians,03-05-12,2012,Subrata Roy Sahara Stadium,Pune,India,Mumbai Indians,Mumbai Indians,bat,runs,Result,SL Malinga,1,1
292,548357,Chennai Super Kings,Deccan Chargers,04-05-12,2012,"MA Chidambaram Stadium, Chepauk",Chennai,India,Chennai Super Kings,Chennai Super Kings,bat,runs,Result,SK Raina,10,1
